value
1.7535
1.7150
1.6811
1.6506
1.6195
1.5947
1.5704
1.5453
1.5180
1.4972
1.4768
1.4542
1.2728
1.2838
1.1321
1.1739
1.1910
1.2289
1.2602
1.2740
1.2883
1.2704
1.2614
1.2756
1.2664
1.2802
1.2866
1.2976
1.3046
1.3013
1.3115
1.3186
1.3171
1.5430
1.7722
2.0033
